Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Social Situations,Work/Career Development,,Fundraiser presentation,"You are put in charge of your office's fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers remain quiet. As you sit down after your presentation, you think they seemed excited.",N/A,The coworkers are probably thinking ...,That they want to help you with the fundraiser.  ,That they don't want to help you with the fundraiser.  ,./images/Fundraiser_presentation.jpeg,1
Social Situations,,,Spotting a friend,"As you are walking down a crowded street, you see your coworker on the other side. You call out, but they do not answer you. Standing there in the street, you think that this must be because they were distracted.",N/A,Did your coworker purposely ignore your call to them in the street?,No,Yes,./images/Spotting_a_friend.jpeg,1
Social Situations,,,A big laugh,"At a dinner party, your friend tells a funny joke. You laugh so much that it feels like you can't get enough air. This experience is enjoyable. ",N/A,Is it fun to laugh really hard?,Yes,No,./images/A_big_laugh.jpeg,1
Social Situations,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
Early/Mid-Stage Symptoms,,,Getting Coffee,"You are waiting for your drink at a cafe. When you think about walking over to pick up your drink, you fear others will notice your unsteady walking. As you're walking over, your legs are noticeably unstable with each step, and you feel embarrassment.",,Do you feel embarrassed?,Yes,No,./images/Getting_Coffee.jpeg,
Early/Mid-Stage Symptoms,,,House Play,You are playing with your child in your home. You are having difficulty keeping up with your child running around and wonder if your spouse will be worried about your child's safety. You believe that your spouse will feel okay.,,You know that your spouse will be...,At ease.,Upset.,./images/House_Play.jpeg,
Early/Mid-Stage Symptoms,,,Dropped Plate,"You're at a dinner party with your dearest friends. You get a plate for food and on your way over to the dining table, you drop your plate on the floor. Two of your friends start running over to help you, but they look concerned.",They share that they've done something similar in the past and don't want you to feel bad about it. This offers you some comfort.,Do your friends feel frustrated with you for dropping your dinner plate?,No,Yes,./images/Dropped_Plate.jpeg,
Early/Mid-Stage Symptoms,,,Games with Friends,"You are playing a board game with a couple of friends. You are trying to place your piece onto the board but your chorea is making it difficult to play on the specific spot. Your turn is taking longer than your friends', so you are worry they are getting annoyed.","After playing a couple more rounds, you speak to your friends. They tell you that regardless of your symptoms, time spent with you is enjoyable.",Your friends are...,Happy to be there.,Annoyed.,./images/Games_with_Friends.jpeg,
Early/Mid-Stage Symptoms,,,Being Independent,"You have always taken pride in being independent and providing care to your family. As your symptoms progress, you notice you are less able to do things on your own, now seeking help from your family. Throughout these changes, your family is understanding.",,Does your family provide you the help you need?,Yes,No,./images/Being_Independent.jpeg,
Early/Mid-Stage Symptoms,,,Shopping in a Crowd,"You're out shopping and you notice that your body is moving uncontrollably. There are other shoppers around, and you wonder what they will think of you if they glance your way. The probability that people will judge you is low.",,Are shoppers around you judging you?,No,Yes,./images/Shopping_in_a_Crowd.jpeg,
Early/Mid-Stage Symptoms,,,Catching up with a friend,"You are at the store when you see a friend, and stop to catch up with them. During this conversation, you're finding that your words come more slowly than usual. Despite these difficulties, talking to your friend is enjoyable. ",,Do you like catching up with your friend?,Yes,No,./images/Catching_up_with_a_friend.jpeg,
Early/Mid-Stage Symptoms,,,Out for dinner,"You're having dinner at a nice restaurant with some friends you haven't seen in a while. In the middle of dinner, your arms start moving uncontrollably, and your friends all turn and look at you. Your friends think having dinner with you is nice.  ",,Do your friends think poorly of you because of your symptoms?,No,Yes,./images/Out_for_dinner.jpeg,
Early/Mid-Stage Symptoms,,,Family Gathering,"You are at a family gathering and see people you haven’t spoken to in years. Your chorea has gotten more noticeable, and you worry how others will react. While you can’t control what others think, you know most people will be understanding, and the day will still be enjoyable.",,Will the family gathering be enjoyable?,Yes,No,./images/Family_Gathering.jpeg,
Early/Mid-Stage Symptoms,,,Changing Roles,"You’ve noticed that your family members have started to care for you more often. Now, they often end conversations by asking if you need or want anything. While this dynamic is very different from the past, you understand that they want to be helpful, and it is okay.",,Your changing role in the family is...,Understandable and welcome,Unacceptable,./images/Changing_Roles.jpeg,
Early/Mid-Stage Symptoms,,,The Movies Solo,"You are at a crowded movie theater alone and enjoying your movie despite experiencing some chorea. You notice people staring at you while you watch the movie. This makes you feel self-conscious, and not being able to explain yourself makes you feel frustrated.",,This experience feels...,Embarrassing,Normal,./images/The_Movies_Solo.jpeg,
Early/Mid-Stage Symptoms,,,Music Venue ,"You're at a music venue, and you suddenly realize you need to use the restroom. You look around and see that you have to walk through a large crowd. You think about tripping over someone, and you decide to hold it because you're nervous.","Your partner looks over at you, so you tell them what's wrong. They offer to help you get through the crowd and you feel more confident.",Your partner's support makes you feel...,Assured,Anxious,./images/Music_Venue.jpeg,
Early/Mid-Stage Symptoms,,,Flights of Stairs,"You are seeing a new specialist in a multilevel building. You realize that the elevator is currently broken. As you look up at the stairs you'll need to climb, it feels daunting.",An employee shows you that the doctor's office is on one of the lower levels and offers to escort you there. You start to feel relieved.,The employee's offer to escort you makes you feel...,Better,More anxious,./images/Flights_of_Stairs.jpeg,
Early/Mid-Stage Symptoms,,,New Baby in the Family,Your sibling is about to have a baby. You worry that your HD symptoms will make it difficult to safely hold the new baby. You remind yourself that you are a loving family member and are trustworthy. ,,"When the new baby comes, you will be...",Supportive and loving,Incapable,./images/New_Baby_in_the_Family.jpeg,
Early/Mid-Stage Symptoms,,,Meeting up with a Friend,"You are talking with a close friend and have gotten lost in the conversation a couple of times. You ask them to repeat something they said earlier, and you are concerned that they might become annoyed. As you both continue the conversation, you know your friend is aware of your diagnosis and is understanding.",,Your conversation will be...,Enjoyable,Disagreeable,./images/Meeting_up_with_a_Friend.jpeg,
Early/Mid-Stage Symptoms,,,Walking Down Steps,You are carrying laundry down your basement stairs. You notice you are more unbalanced than you used to be and walking down is now more difficult. You note to take more care in the future and hold onto the railing so that you are steady.,,"In the future, walking down the stairs will be...",Manageable,Impossible,./images/Walking_Down_Steps.jpeg,
Early/Mid-Stage Symptoms,,,Enjoying the outdoors,"You're sitting on a bench outside enjoying the fresh air when you notice that your arms are moving. Just then, you hear someone call your name and look up to see your neighbors walking by. You wonder if they've noticed your movements as well, but remember it is normal for people with your condition and won't take away from enjoying the moment.",,Will you be able to wave and talk to your neighbors?,Yes,No,./images/Enjoying_the_outdoors.jpeg,
Early/Mid-Stage Symptoms,,,Wedding Celebration,"You are at your child’s wedding. They ask you to dance with them, but you are reluctant because you feel unsteady on your feet. Whether or not your child notices, you know that you are a good parent.",,Will your presence on the dance floor be appreciated?,Yes,No,./images/Wedding_Celebration.jpeg,
Early/Mid-Stage Symptoms,,,Family Dinner,"You love to cook for your family. Lately, your symptoms have made it more difficult to make your favorite meals. Whether or not you can continue filling this role for your family, you know that dinner time together will be enjoyable.",,Do you think you will still be valued and loved in the family?,Yes,No,./images/Family_Dinner.jpeg,
Early/Mid-Stage Symptoms,,,Dinner Party,"You are excited to attend a dinner with friends. However, you find that you are having more difficulty swallowing than usual. Whether or not your friends notice, you know your friends care about you, and your presence is appreciated.",,"Your friends notice that you're having difficulty swallowing, and….",They are grateful you are present at the dinner,They are embarrassed by you,./images/Dinner_Party.jpeg,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,Bowling Alley,"You are at a bowling alley, and it's your turn to bowl. A friend stands up, joking that they are going to take your turn. As you speak up to stop them, your words come out unclear, and they look confused.",,Your symptoms are affecting your communication...,Negatively,Positively,./images/Bowling_Alley.jpeg,
Early/Mid-Stage Symptoms,,,Favorite Restaurant,"You don’t feel very steady on your feet as you walk to your table at your favorite restaurant. You see other customers turn their heads to look at you as you walk by. Whether or not they think you walked oddly, your meal will be enj­­oyable.",,"If the other customers did notice your walk, you would likely be... ",Okay,Disappointed,./images/Favorite_Restaurant.jpeg,
Early/Mid-Stage Symptoms,,,Safety at Home,"You have been feeling more unsteady on your feet recently. When walking through your home, you worry you will fall. You decide to be safe by sitting down and recovering.",,"When walking through your home, you...",Make it safely to a sitting position.,Get hurt.,./images/Safety_at_Home.jpeg,
Early/Mid-Stage Symptoms,,,New Costs,"You and your significant other had been doing fine financially, but your insurance plan recently changed and your treatments now cost more. Your significant other is being passive aggressive about your new financial situation, which makes you upset since the situation is out of your control. You remember that you can work together to find a solution.",,You and your significant other will probably...,Have a good conversation.,Feel resentful.,./images/New_Costs.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Getting Baked Goods,"You are waiting for your order at a bakery. As you walk over to pick up your baked goods, you fear you might clumsily drop them in front of everyone. You remind yourself that the to-go bag includes handles, so you will likely keep the bag safe.",,Do you think you will be able to pick up your baked goods without dropping them?,Yes,No,./images/Getting_Baked_Goods.jpeg,
Early/Mid-Stage Symptoms,,,Facial Expression ,"You often have involuntary facial movements due to chorea. As you walk into a room of friends, you glimpse your eyebrows raising in the mirror. Your friends exchange uneasy glances as they misinterpret your facial expression as a sign of anger.",You make a lighthearted joke that breaks the tension and your friends realize you aren't angry at all. They quickly grasp your true warmth and everyone feels happy.,Your friends understand that you are...,Glad,Mad,./images/Facial_Expression.jpeg,
Early/Mid-Stage Symptoms,,,Dinner Alone,You are at a restaurant alone and enjoying your dinner despite experiencing some uncontrollable movements in your hands. You notice people staring at you while you eat and feel self-conscious. You remind yourself that you do not owe them an explanation.,,People at the restaurant are probably...,Busy with their own meals.,Judging you.,./images/Dinner_Alone.jpeg,
Early/Mid-Stage Symptoms,,,Future Dog Walking,"You are a dog owner. You've had difficulty with your balance lately, and you worry that it will become harder to take your dog for a walk. Thinking about whether you will be able to continue to care for your dog makes you feel overwhelmed.",You remind yourself that your dog's love is unconditional and you can find creative ways to provide care and attention for them. This helps you to see the future more positively.,Your dog will be...,Cared for,Neglected,./images/Future_Dog_Walking.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Collaging,"You love creating collages, and you're really proud of what you've created. As you think about getting older, you wonder how your ability to cut out images and do this hobby will change. You remind yourself to enjoy doing what you love in the present.",,Can you still enjoy collaging today?,Yes,No,./images/Collaging.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,House Cleaning,"You take pride in your home and like to deep clean it regularly. Lately, you've been feeling more tired and have had to hire someone to help you clean your house. Having someone else there to help you clean makes you feel grateful.",,You likely feel...,Better,Even more tired,./images/House_Cleaning.jpeg,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,Family Wedding,"You're helping your sister prepare for her wedding. When you meet with the bridal party, you forget the groom's name. Desperate to hide this from her, you secretively ask another sibling for the groom's name while your sister glances over at you with a look of disappointment.",,Did your memory lapse upset your sister? ,Yes,No,./images/Family_Wedding.jpeg,
Early/Mid-Stage Symptoms,,,Work Day,"Today, you woke up tired and sluggish. You're having trouble focusing on your work, and you wonder whether this is a sign of your disease progressing. Suddenly, you remember that you stayed up late last night and feeling tired is expected.",,Is your disease suddenly getting worse?,No,Yes,./images/Work_Day.jpeg,
Early/Mid-Stage Symptoms,,,Changing Roles,"You’ve noticed that your family members have started to care for you more often. Now, they often end conversations by asking if you need or want anything. While this dynamic is very different from the past, you understand that they want to be helpful, and it is okay.",,Your changing role in the family is...,Understandable and welcome,Unacceptable,./images/Changing_Roles.jpeg,
Early/Mid-Stage Symptoms,,,Avid Traveler,"You are an avid traveler but have recently had mobility challenges and frequent fatigue. You worry about how this will impact your ability to explore new destinations and maintain a fast-paced lifestyle. The more you think about it, the more you become hopeless.",You remind yourself that you can still find fulfillment in traveling more locally. Focusing on other aspects of travel that you enjoy gives you peace. ,The thought of exploring close to home makes you feel... ,At peace,Heartbroken,./images/Avid_Traveler.jpeg,
Early/Mid-Stage Symptoms,,,Coffee Ordering,"You are at a coffee shop, and it's your turn to order. Your words are coming out unclear and you see confusion on the employee's face. You remind yourself that there's no rush and the employee is likely just trying to hear, not judging you.",,The employee is probably feeling...,Interested,Frustrated,./images/Coffee_Ordering.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Talking to friends,"You are catching up with a group of friends you haven't seen in a while. In the middle of telling a story, you lose track of what you intended to say and worry about your friends' reactions. You tell your friends that you lost your train of thought, and they are understanding. ",,"When you talk, your friends are...",Engaged,Confused,./images/Talking_to_friends.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Creating Art ,"You enjoy making art. As you are considering your next project, you can't help but think about how HD might affect your creative ability in the future. Thinking about this makes you feel down.",You then realize that you can adapt the way you currently create. Knowing that there are many ways to be an artist leaves you feeling hopeful.,"As you consider your future as an artist, you know that you will... ",Adapt,Fail,./images/Creating_Art.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Book Club,"You are in a book club, and you really enjoy getting to talk about your ideas with the other members. You are excited thinking about all the books you would like to discuss in the future, but wonder if your HD will affect your ability to participate like you do now. You know that even if your experience of the book club looks different in the future, there will still be ways to stay engaged.",,Will you still be able to have discussions with your book club?,Yes,No,./images/Book_Club.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Thinking fast at work,"You are at your workplace, and a colleague asks you to perform a task that you have completed countless times before. Today, you struggle to recall the steps needed to complete the task, and your colleague starts to look concerned. Regardless of what they think, you do not question your own competence.",,"If you fail to recall the steps needed to complete the task, you will...",Still be able to do your job,Be judged by your colleagues,./images/Thinking_fast_at_work.jpeg,
Early/Mid-Stage Symptoms,,,Day in the Park,"You are at the park with your child. They ask you to play catch, and your unsteady gait causes you to stumble. Whether or not your child notices, you do not lose confidence in your role as a loving parent to your child.",,Will your child still feel loved by you?,Yes,No,./images/Day_in_the_Park.jpeg,
Early/Mid-Stage Symptoms,,,Holding the Phone,"Lately, you've been a bit clumsy. Yesterday, you even dropped your phone on the ground as you were talking. Today, when your phone rings in public, you avoid answering because you worry about feeling embarrassed.",,Your symptoms are affecting your social life...,Negatively,Positively,./images/Holding_the_Phone.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Friend's Birthday Party,"You are normally calm and collected. At a friend's birthday party, you see someone forgetting to throw away their trash, and you blow up at them. Your friends look shocked, and you are left feeling isolated and misunderstood.",A friend recognizes that you're not behaving like your usual self and takes the time to talk to you. Their words of wisdom and listening ear make you feel loved.,"After the talk, you know that your friends...",Love you,Reject you,./images/Friend's_Birthday_Party.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Therapist after Diagnosis,"You are dedicated to your job as a therapist. Since your HD diagnosis, you have been worried about maintaining your relationship with patients. You reassure yourself that even if your symptoms slow you down, your years of experience will help you continue to do your job well.",,You should be able to help your patients…,Heal,Fail,./images/Therapist_after_Diagnosis.jpeg,
Early/Mid-Stage Symptoms,,,Shopping For Party Supplies,"You have always been known for your hospitality and ability to plan fun events. You go to the store with your spouse to buy supplies for a surprise event for your relative, but you can't remember the items on your list. Your spouse finds you in the store to give you a written list, and you feel supported.",,"With the support of your spouse, you feel...",Grateful,Agitated,./images/Shopping_For_Party_Supplies.jpeg,
Early/Mid-Stage Symptoms,,,Garden Planting,"In the spring, you notice your friends and neighbors have planted their gardens already. You are taking much longer than expected to plant your garden due to recent changes in your balance. You remember to take the planting one row at a time and remain patient.",,Taking a slower approach to garden work makes the experience more...,Peaceful,Troublesome,./images/Garden_Planting.jpeg,
Early/Mid-Stage Symptoms,,,Arcade Games,"You are at an arcade with your family. You have always loved playing pinball to try to win prizes for your family members, but you can't pull back the pin as far as you used to and lose the game. You look at your family, and you all share a laugh.",,Your family is being...,Playful,Judgmental,./images/Arcade_Games.jpeg,
Early/Mid-Stage Symptoms,,,At Home Alone,"Your HD symptoms have been unpredictable since your diagnosis, and being home alone gives you an uneasy feeling. Your spouse told you last night they have to go into work tomorrow, meaning you will be home alone for several hours. You remember you have a cell phone easily accessible, and that gives you peace. ",,Being home alone with a cell phone makes you more...,Relaxed,Fearful,./images/At_Home_Alone.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Replying to Email,"You receive an email from work marked ""EMERGENCY."" You've been having difficulty typing, so you close the email and decide to respond later. When you return to your computer 30 minutes later, your boss has sent you a message, and you worry that he is disappointed. ",You decide to check in with your boss to see how he's feeling. His nice response leaves you feeling upbeat.,Did your boss respond angrily?,No,Yes,./images/Replying_to_Email.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Name Recall ,"You are on your daily walk in the park, and you see the same person you had a conversation with yesterday. Unfortunately, you can't seem to remember their name. When you ask for their name again, they say, ""I was going to ask you the same thing,"" and you both laugh.",,The new friend's response is a sign of...,Relief,Frustration,./images/Name_Recall.jpeg,
Early/Mid-Stage Symptoms,,,Dismissive Doctor,You have a visit with your doctor today in regards to some new symptoms of HD you've been experiencing. Your doctor doesn't seem to be listening intentionally and forgets some of the signs you mentioned. You kindly repeat your concerns knowing their day has likely been long. ,,You know you've had long days before and decide to be...,Empathetic,Impatient,./images/Dismissive_Doctor.jpeg,
Early/Mid-Stage Symptoms,,,Social Media Post,"Today, your reliable son doesn't show up and tells you that he's sick. You later see him post a photo on social media of himself at a mini golf course. Thinking about confronting him leads to you lashing out at those around you and getting very irritated.",,You son's actions have made you feel especially...,Angry,Calm,./images/Social_Media_Post.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Birthday Cards,"You are known in your family for sending birthday cards on time every year. This year, several of your family members got their cards late because you forgot to check your calendar. You think that you forgot about the cards because you have been busy. ",,You most likely forgot to send the cards due to...,Being busy,Developing symptoms of dementia,./images/Birthday_Cards.jpeg,
Early/Mid-Stage Symptoms,,,Beach Vacation,"You are on your family's annual beach vacation. Your nieces and nephews want you to go in the water with them, but you are nervous about staying balanced with the crash and force of the waves. You think about how they will be with you in the water and decide to go have some fun. ",,Swimming in the ocean with your nieces and nephews will be...,Amusing,Unpleasant,./images/Beach_Vacation.jpeg,
Early/Mid-Stage Symptoms,,,Loan Repayment,"You have spent years repaying loan debt from your house, schooling, and cars. As you notice more signs of HD, you worry that you won't have enough time to pay off the loans. You set up a meeting with a financial planner, helping you feel more prepared.",,Taking steps to assess your finances makes you feel...,Organized,Ruined,./images/Loan_Repayment.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Difficulty Baking,"For the first time since being diagnosed with HD, you find yourself confused by a familiar cake recipe. You ask your spouse a question about the recipe, and they go quiet. When you look into your spouse's eyes, their emotions are unclear.","You ask about how they're feeling, and they respond that they're trying to remember the answer to your question. This makes you feel comforted.","After your spouse explains their silence, you feel...",Comforted,Worried,./images/Difficulty_Baking.jpeg,
Early/Mid-Stage Symptoms,,,Farmer's Market,"You enjoy going to the local farmer's market every week. Lately, you've been struggling to get the motivation to go, fearing that others will notice your HD symptoms, but you get the courage to go today. When you arrive at the market, you see many familiar faces that look at you with a smile.",,The familiar vendors greet you with...,Joy,Suspicion,./images/Farmer's_Market.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Travel Dreams,"You didn't get to travel growing up due to your parents' financial strain. You always told yourself you would start traveling later in life, but your diagnosis of HD is giving you doubts. Despite the concern, you book your first flight, anticipating the opportunity to explore.",,The thought of traveling despite your diagnosis is...,Thrilling,Terrifying,./images/Travel_Dreams.jpeg,
Early/Mid-Stage Symptoms,,,Disease and Identity,"You feel as if HD has become central to your identity. You have recently been feeling the burden of explaining your diagnosis in every conversation, especially with new people. You begin to understand your disease as something that can be both shared and kept private. ",,Sharing or withholding your HD from others is...,Your decision,Forced,./images/Disease_and_Identity.jpeg,
Early/Mid-Stage Symptoms,,,A Tricky Hike,"You love the great outdoors but have discovered recent unsteadiness in your footing when hiking. Friends notice the change and ask you about what's going on. When you answer, your friends realize that your fun escape has become a tricky challenge.",One of your friends finds the perfect walking stick and hands it to you. You continue on your walk feeling supported.,"With the walking stick, you feel...",Secure.,Incapable.,./images/A_Tricky_Hike.jpeg,
Early/Mid-Stage Symptoms,,,Hiking Hiatus,"You love to go hiking, but since your HD has been progressing, you fear going alone. You message a friend about your concerns, and they don't respond immediately. After a few minutes, your friend responds that your desire to continue hiking is good.",,Your friend thinks that your desire to continue an activity you love is...,Healthy,Foolish,./images/Hiking_Hiatus.jpeg,
Early/Mid-Stage Symptoms,,,Write Your Own,,,,,,,
Early/Mid-Stage Symptoms,,,Write Your Own,,,,,,,
Early/Mid-Stage Symptoms,,,Write Your Own,,,,,,,
Early/Mid-Stage Symptoms,,,New Conflict With Spouse,"You and your spouse have been married for a long time. Recently, you find yourself becoming easily angered with them over things that haven't made you upset in the past. Instead of fearing the future, you realize how your marriage is a commitment. ",,"Reflecting on your relationship with your spouse, you feel...",Committed,Afraid,./images/New_Conflict_With_Spouse.jpeg,
Early/Mid-Stage Symptoms,,,Spiritual Journey,"Your spiritual journey has become more important to you in recent years. As your HD symptoms progress, you find it difficult to concentrate on developing your spiritual practice more. After taking some time to reflect on your struggles, you feel that your spiritual practice will adapt.",,Will you find new ways of continuing your spiritual practice?,Yes,No,./images/Spiritual_Journey.jpeg,
Early/Mid-Stage Symptoms,Presymptomatic,,Unconditional Love,"Your marriage is extremely important to you. Lately, you have been lashing out at your spouse more often, and you worry about how this will affect your marriage. You seek the advice of a counselor and remember that your spouse's love is unconditional.",,Will your spouse stop loving you because of your recent behavior?,No,Yes,./images/Unconditional_Love.jpeg,
Early/Mid-Stage Symptoms,,,Symptoms at Shopping Mall,"While you're in a shopping mall, your chorea is worse than usual while trying on clothes. You wonder whether to call your doctor but worry they will think you are overreacting. You decide to make an appointment, and as you place the call, you feel nervous.","The receptionist helps to comfort you and makes you the earliest appointment possible. After the call, you feel a little more relaxed.",Did you feel better after making the appointment?,Yes,No,./images/Symptoms_at_Shopping_Mall.jpeg,
Early/Mid-Stage Symptoms,,,Paying With Cash,"You are at the grocery store restocking food for the week. When you go to give cash to the cashier, all of your change falls to the floor. You look to the people behind you in line, and they offer to help.",,The people behind you in line are eager to...,Help you,Mock you,./images/Paying_With_Cash.jpeg,
Early/Mid-Stage Symptoms,,,Meal Program Volunteering,"You love volunteering with the local senior meal program weekly. You slipped and hurt yourself a week ago, and your doctor told you that it would be at least a month before you should volunteer again. The thought of not helping others makes you feel sad.",,Your doctor's orders are...,Disappointing,Welcomed,./images/Meal_Program_Volunteering.jpeg,
Early/Mid-Stage Symptoms,,,Moving to a New City,"Your spouse's job has taken you all over the country with new opportunities. Your spouse's boss approaches them at work asking if they can take a position a few hours away. The thought of a new city, friends, and even medical providers is exciting. ",,Moving to a new city with HD will be a/an...,Adventure,Burden,./images/Moving_to_a_New_City.jpeg,
Early/Mid-Stage Symptoms,,,Lunch with New Friend,"You are meeting a new friend for lunch soon. You have recently been a bit messier when you eat, and you are worried they will judge you. When you begin to eat your food, you notice your new friend is looking at you strangely.","Your friend laughs and points out that the waiter accidentally switched your plates. As you giggle and slide your plate over to them, you feel relieved.",Was your new friend judging you for being a messy eater?,No,Yes,./images/Lunch_with_New_Friend.jpeg,
Early/Mid-Stage Symptoms,,,April Proposal,"You have been dating someone seriously and are looking forward to the possibilty of getting married — even though some people may think it's too ""late"" in life. On a warm April day, they propose to you at your favorite spot downtown. You say yes knowing HD will be something you get through together.",,"You are confident that as your HD progresses, your fiancé will...",Support you,Abandon you,./images/April_Proposal.jpeg,
Early/Mid-Stage Symptoms,Romantic Relationships,,Intimacy and Communication,Your HD has been causing you to lose interest in intimacy with your spouse due to difficulty with movements. Your spouse has noticed this change and is upset with your lack of touch and care. You recognize you haven't voiced your concern to your spouse and decide to communicate.  ,,You respond to your spouse's upset reaction by... ,Communicating,Avoiding them,./images/Intimacy_and_Communication.jpeg,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
