Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Early/Mid-Stage Symptoms,,,Forgotten Ingredients,"You are making a new recipe for dinner that your friend just shared with you over the phone a few minutes ago. You've already forgotten a few of the ingredients and are feeling frustrated that your memory isn't what it used to be. You realize you can call your friend back, and they would share the recipe again happily.",,Your friend would share the recipe again...,Happily.,Reluctantly.,https://drive.google.com/file/d/1Ht4SiFf0rwkMjIrugMBgJRxLxXT-09OY/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Dedicated Teacher,"You are dedicated to your job as a teacher. Since your PD diagnosis, you have been worried about doing a good job in the classroom. You reassure yourself that even if your symptoms slow you down, your years of experience will help.",,You should be able to…,Teach well,Teach poorly,https://drive.google.com/file/d/1vD-eWmOMML94SMc8KCjIoTjmf-PJZYi1/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Lost Things,"Throughout the past week, you've continuously lost track of things, like your keys and your wallet. You've had some recent stressors in your life, and losing track of your things makes you even more anxious. You remember that stress can make your memory worse, and as things calm down, your memory will probably get better.",,Will it be easier to remember things when you have less to worry about?,Yes,No,https://drive.google.com/file/d/1titr5QvDI3D3IDIs0BNpqhDzOXENsShB/view?usp=sharing,
Early/Mid-Stage Symptoms,,,The Movies Solo,"You are at a crowded movie theater alone and enjoying your movie despite experiencing some dyskinesia. You notice people staring at you while you watch the movie. This makes you feel self-conscious, and not being able to explain yourself makes you feel frustrated.",,This experience feels...,Embarrassing,Normal,https://drive.google.com/file/d/1mkqdAWLmcZjq0UPzNbx6FWCtEEmWgqmW/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Research Study,"For the first time, you're taking part in a research study about PD. When someone tells you that you've been picked as a participant, you don't know what to expect. As you think about it more, you begin to feel uneasy.","The research team tells you that your participation is completely voluntary and you can opt out at anytime. After that, you start to feel more relaxed.",You felt better because you know... ,You can stop any time,You must continue on,https://drive.google.com/file/d/1QQRrELa2PBe_PdGRWdjOgUaFBBqiindV/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Taking Time Off,"At work you've noticed more difficulty typing. You decide to email your boss to ask to take time off to focus on your health. You see a reply pop up in your email after a while, and you feel scared. ",Your boss is very kind in their reply and would like to meet with you. You can think clearly now and you are feeling more calm.,You did not want to ask for time off because... ,You were fearful,You did not need time off,https://drive.google.com/file/d/1BZPT1R2VW41maP6zRWQP2__Cje0nI-SG/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Gathering at the park,"You're attending a family gathering at a park and are worried when you notice that your hands are trembling more than usual. Your anxiety makes your hands shake even more, which in turn makes you more and more anxious. You sit down and take several deep, calming breaths, and your tremor starts to subside; your increased tremor and anxiety were just temporary. ",,Were your shaking hands an indication that your disease is worsening?,No,Yes,https://drive.google.com/file/d/1_yterP9gpuSamkIIwioDJ9hjhDs6k7Oj/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Morning errands,"You are running errands and have spent much of the morning on your feet when suddenly, your heart starts racing and you feel lightheaded. You rush to your car, worried that you might be having a panic attack. After sitting down, you remember that these feelings could also be caused by low blood pressure related to your Parkinson’s; you turn on the air conditioning and drink some water, and soon your body starts to relax.",,Is your racing heart a sign of a panic attack?,No,Yes,https://drive.google.com/file/d/1eeU2n1XPk3gnhF3JO-cJ1XLEklt_wOCX/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Chores and Errands,"You were up early this morning, and decided to do some chores and errands. By the late morning, you feel more tired than you expected, and need to take a break. You decide to take a nap, listening to what your body needs and feeling satisfied. ",,Are you upset with yourself for having to take a break?,No,Yes,https://drive.google.com/file/d/1X3JpZswnxTWe6NBZkPXY5GM0C5iCUmL4/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Hardware Store,"You are in the checkout line at the hardware store, and you notice your hands begin shaking. The cashier glances down towards your hands, and you wonder what they think of you. When the cashier looks up, they give you a smile.  ",,Do your shaking hands ruin your interaction?,No,Yes,https://drive.google.com/file/d/1dF43AC_FnILl2I-HOcBo4ITYL45CIZ5s/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,A Long Dinner,"You're at dinner with friends, which runs longer than expected as you all spend time catching up. You know that your medication will be wearing off soon, and you did not bring any with you. If you begin to show symptoms of your medication wearing off, your friends will be supportive. ",,"If your medication wears off, dinner will be...",enjoyable.,ruined.,https://drive.google.com/file/d/1A_eY4SYOONjUKzKZuzIo4s7ddRcMVIDf/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Being Independent,"You have always taken pride in being independent and providing care to your family. As your symptoms progress, you notice you are less able to do things on your own like cooking or cleaning, now seeking help from your family. Throughout these changes, your family is understanding.",,Does your family provide you the help you need?,Yes,No,https://drive.google.com/file/d/1ECZOvrgDXUoQkLNbYAIX2g6nbemKUflr/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Question at Work,"At a neighborhood meeting, you forget the answer to an important question. Your neighbors exchange glances that leave you unsure about how they perceive your capabilities due to your PD. However, one neighbor extends a helping hand offering to fill you in, and you think that your neighbors are supportive.",,Your neighbors make you feel...,supported.,self-conscious. ,https://drive.google.com/file/d/1k0JLus9UjcqQdfaYuih6-sWcsM-76aou/view?usp=sharing,
Early/Mid-Stage Symptoms,Presymptomatic,,Gardening,"You have a garden you're really proud of and enjoy getting to work on every year. As you think about getting older, you wonder how your ability to do this pastime will change. You think about how your Parkinson's symptoms could prevent you from caring for your plants, and they'll die.",,"In the future, your symptoms will cause your plants to...",Die,Thrive,https://drive.google.com/file/d/1QhTkCOP2n_bhBiwYnzR5MCuZL_dldmnj/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Dropped Plate,"You're at a dinner party with your dearest friends. You get a plate for food and on your way over to the dining table, you drop your plate on the floor. Two of your friends start running over to help you, but they look concerned.",They share that they've done something similar in the past and don't want you to feel bad about it. This offers you some comfort.,Do your friends feel frustrated with you for dropping your dinner plate?,No,Yes,https://drive.google.com/file/d/1mAMTE9lRFCZBn_f-ETkFVAwjz5XKhwye/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Music Venue ,"You're at a music venue, and you suddenly realize you need to use the restroom. You look around and see that you have to walk through a large crowd. You think about tripping over someone, and you freeze up.","Your partner looks over at you, so you tell them what's wrong. They offer to help you get through the crowd and you feel more confident.",Your partner's support makes you feel...,Assured,Anxious,https://drive.google.com/file/d/1Jld1tGCp30EgKIBq4df9YsBtzPItA-Od/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Planning a Family Vacation,"Your family is planning a big vacation in a few years' time. You wonder what life will look like for you by then, and whether the vacation will be possible. No matter what the future holds, you will still be able to enjoy time with your family- whether or not that includes traveling- and your family will be supportive.  ",,This vacation...,will not stand between you and your family.,will cause tension between you and your family.,https://drive.google.com/file/d/1r_8RBCt48Z_k8Jkl273i486kTpz6luP6/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Shopping in a Crowd,"You're out shopping, and you freeze as you try to navigate an unfamiliar store. There are other shoppers around, and you wonder what they will think of you if they glance your way. The probability that people will judge you is low.",,Are shoppers around you judging you?,No,Yes,https://drive.google.com/file/d/1W68GstUhtJesvdXlLjW6V8bzxbJsF_wf/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Catching up with a friend,"You are at the store when you see a friend, and stop to catch up with them. During this conversation, you're finding that your words come more slowly than usual. Despite these difficulties, talking to your friend is enjoyable. ",,Do you like catching up with your friend?,Yes,No,https://drive.google.com/file/d/1geYBTT3pfwCp3B4kmqkwowpI4bj4Sm6i/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Out for dinner,"You're having dinner at a nice restaurant with some friends you haven't seen in a while. In the middle of dinner, your tremor starts to worsen, and your friends all turn and look at you. Your friends think having dinner with you is nice.  ",,Do your friends think poorly of you because of your symptoms?,No,Yes,https://drive.google.com/file/d/1SM-ZFOVfoFfNyVJ7Fio5mdBOoaockxsJ/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Forgetting the Laundry,"You notice that you forgot to do the laundry and will have to do it tomorrow. Tasks like this slip your mind more often now, and you worry about how you will function in the future. You acknowledge that things are changing, but you are still capable.
",,Will you be able to do the laundry tomorrow?,Yes,No,https://drive.google.com/file/d/14oYAG1V7LgyjdgE6rnJSsaYABHcFjlXp/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Family Gathering,"You are at a family gathering and see people you haven’t spoken to in years. Your tremors have gotten more noticeable, and you worry how others will react. While you can’t control what others think, you know most people will be understanding, and the day will still be enjoyable.
",,Will the family gathering be enjoyable?,Yes,No,https://drive.google.com/file/d/14zfE_2i3qtGJ_Pa0T8ShIdbF5UO0Z3q9/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Meeting up with a Friend,"You are talking with a close friend and have gotten lost in the conversation a couple of times. You ask them to repeat something they said earlier, and you are concerned that they might become annoyed. As you both continue the conversation, you know your friend is aware of your diagnosis and is understanding.",,Your conversation will be...,Enjoyable,Disagreeable,https://drive.google.com/file/d/1pwnCaHfA9CYafapZZtNfTnXtByrvEY_a/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Household responsibilities,"You take pride in taking on unliked chores. You have been feeling more fatigued recently and you have had to let others around you take on more of your tasks. You think about how lately when you discuss chores, your family members seem to be annoyed.",,Your family seems...,Frustrated,Happy,https://drive.google.com/file/d/1EbDAR-qHs4TPD791_HctelQxmxUa2F7K/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Flights of Stairs,"You are seeing a new specialist in a multilevel building. You realize that the elevator is currently broken. As you look up at the stairs you'll need to climb, it feels daunting.",An employee shows you that the doctor's office is on one of the lower levels and offers to escort you there. You start to feel relieved.,The employee's offer to escort you makes you feel...,Better,More anxious,https://drive.google.com/file/d/1HlBoGA80ByAqGnMLW6JGXqebimcYL7VO/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Games with Friends,"You are playing a board game with a couple of friends. You are trying to place your piece onto the board but your tremor is making it difficult to play on the specific spot. Your turn is taking longer than your friends', so you are worry they are getting annoyed.","After playing a couple more rounds, you speak to your friends. They tell you that regardless of your symptoms, time spent with you is enjoyable.",Your friends are...,Happy to be there.,Annoyed.,https://drive.google.com/file/d/1G2_AHHfi7du6qfnH9d65wHUNTrRfz3SS/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Walking Down Steps,You are carrying laundry down your basement stairs. You notice you are more unbalanced than you used to be and walking down is now more difficult. You note to take more care in the future and hold onto the railing so that you are steady.,,"In the future, walking down the stairs will be...",Manageable,Impossible,https://drive.google.com/file/d/1bwbSHIWCOV_3D60RUcyH8QwmXqvZeeC-/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Disagreement with a Friend,"You recently got into a fight with a close friend because you forgot their birthday. You've been feeling more irritable lately, and disagreements like this are becoming common. You think about the history between you and your friend, and you know that your friendship will stay strong.",,Will your friendship be alright?,Yes,No,https://drive.google.com/file/d/1a_UkdduNdLGNkNtE6Sg_4HiBj_FTposN/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Enjoying the outdoors,"You're sitting on a bench outside enjoying the fresh air when you notice that your arms are moving. Just then, you hear someone call your name and look up to see your neighbors walking by. You wonder if they've noticed your movements as well, but remember it is normal for people with your condition and won't take away from enjoying the moment.",,Will you be able to wave and talk to your neighbors?,Yes,No,https://drive.google.com/file/d/14dvbj6b7fY-sIqF_AU7hlVbYyETBbF3C/view?usp=drive_link ,
Early/Mid-Stage Symptoms,,,Wedding Celebration,"You are at your child’s wedding. They ask you to dance with them, but you are reluctant because you feel unsteady on your feet. Whether or not your child notices, you know that you are a good parent.",,Will your presence on the dance floor be appreciated?,Yes,No,https://drive.google.com/file/d/1gBz5z-LxxwvTq2Lx6fxR4fxvHIPym-yK/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Family Dinner,"You love to cook for your family. Lately, your symptoms have made it more difficult to make your favorite meals. Whether or not you can continue filling this role for your family, you know that dinner time together will be enjoyable.",,Do you think you will still be valued and loved in the family?,Yes,No,https://drive.google.com/file/d/10I__3z0QouJtQBr-XzU8jA7nyIyclb8v/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Dinner Party,"You are excited to attend a dinner with friends. However, you find that you are having more difficulty swallowing than usual. Whether or not your friends notice, you know your friends care about you, and your presence is appreciated.",,"Your friends notice that you're having difficulty swallowing, and….",They are grateful you are present at the dinner,They are embarrassed by you,https://drive.google.com/file/d/1B6VvyvgOwhQq6-BrWCJnJXfaoysErHbs/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,New Baby,"You have just become a grandparent. You are scared about how your PD might affect the child's future. When thinking about being a grandparent, you remind yourself that you will fill your grandchild's life with love.",,Will you still be able to spend quality time with your grandchild?,Yes,No,https://drive.google.com/file/d/1oUuQS_fDeMEuDdLASlwcSjFdcjMmV_M7/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Bowling Alley,"You are at a bowling alley, and it's your turn to bowl. A friend stands up, joking that they are going to take your turn. As you speak up to stop them, your words come out unclear, and they look confused.",,Your symptoms are affecting your communication...,Negatively,Positively,https://drive.google.com/file/d/1_iyvvYtezrF6wPSZao1TWj4KhNofbQBd/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Favorite Restaurant,"You don’t feel very steady on your feet as you walk to your table at your favorite restaurant. You see other customers turn their heads to look at you as you walk by. Whether or not they think you walked oddly, your meal will be enj­­oyable.","If the other customers did notice your walk, you would likely be... ",Okay,Disappointed,,https://drive.google.com/file/d/1D_N30N3RGLQstAmltiiYmWKwr89osWcA/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Safety at Home,"You have been feeling more unsteady on your feet recently. When walking through your home, you worry you will fall. You decide to be safe by sitting down and recovering.",,"When walking through your home, you...",Make it safely to a sitting position.,Get hurt.,https://drive.google.com/file/d/1zkM_48sgiC7qXPGmgvdQg4e_jYQllfAh/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,New Costs,"You and your significant other had been doing fine financially, but your insurance plan recently changed and your treatments now cost more. Your significant other is being passive aggressive about your new financial situation, which makes you upset since the situation is out of your control. You remember that you can work together to find a solution.",,You and your significant other will probably...,Have a good conversation.,Feel resentful.,https://drive.google.com/file/d/1uoRy4h5USnIrfNYR44mG8_Ri45cTN2WM/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Getting Baked Goods,"You are waiting for your order at a bakery. As you walk over to pick up your baked goods, you fear you might clumsily drop them in front of everyone. You remind yourself that the to-go bag includes handles, so you will likely keep the bag safe.",,Do you think you will be able to pick up your baked goods without dropping them?,Yes,No,https://drive.google.com/file/d/1cXjJ9958aApkseHqmZOq_p-oHQl6K6US/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Facial Expression ,"Your face often appears less expressive than it used to. As you walk into a room of laughing friends, you glimpse your blank face in the mirror. Your friends exchange uneasy glances as they misinterpret your expression as a sign of anger.",You make a lighthearted joke that breaks the tension and your friends realize you aren't angry at all. They quickly grasp your true warmth and everyone feels happy.,Your friends understand that you are...,Glad,Mad,https://drive.google.com/file/d/11LKEat5BxB4i8kwGdsHE20mQYsdNnOH8/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Dinner Alone,You are at a restaurant alone and enjoying your dinner despite experiencing some uncontrollable movements in your hands. You notice people staring at you while you eat and feel self-conscious. You remind yourself that you do not owe them an explanation.,,People at the restaurant are probably...,Busy with their own meals.,Judging you.,https://drive.google.com/file/d/1y1IKbbljhzDFd4m7ehwL36LqEmM8gGSb/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Future Dog Walking,"You are a dog owner. You've had difficulty with your balance lately, and you worry that it will become harder to take your dog for a walk. Thinking about whether you will be able to continue to care for your dog makes you feel overwhelmed.",You remind yourself that your dog's love is unconditional and you can find creative ways to provide care and attention for them. This helps you to see the future more positively.,Your dog will be...,Cared for,Neglected,https://drive.google.com/file/d/1VDipAYDCI-9F25T1hN2WVLHF9y5b6ChM/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Collaging,"You love creating collages, and you're really proud of what you've created. As you think about getting older, you wonder how your ability to cut out images and do this hobby will change. You remind yourself to enjoy doing what you love in the present.",,Can you still enjoy collaging today?,Yes,No,https://drive.google.com/file/d/1eNhV9NLx3m7ZdPnHsUktLhAQbgw7rzuQ/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,House Cleaning,"You take pride in your home and like to deep clean it regularly. Lately, you've been feeling more tired and have had to hire someone to help you clean your house. Having someone else there to help you clean makes you feel grateful.",,You likely feel...,Better,Even more tired,https://drive.google.com/file/d/1VM9mnI7vaPmKsnDeo7wn9d5Ahr-LzHHo/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,New Conflict With Spouse,"You and your spouse have been married for a long time. Recently, you find yourself becoming easily angered with them over things that haven't made you upset in the past. Instead of fearing the future, you realize how your marriage is a commitment. ",,"Reflecting on your relationship with your spouse, you feel...",Committed,Afraid,https://drive.google.com/file/d/1kJQEqLT2dGgQ3N9MHemPXjw14vYn2gXA/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Spiritual Journey,"Your spiritual journey has become more important to you in recent years. As your HD symptoms progress, you find it difficult to concentrate on developing your spiritual practice more. After taking some time to reflect on your struggles, you feel that your spiritual practice will adapt.",,Will you find new ways of continuing your spiritual practice?,Yes,No,https://drive.google.com/file/d/1zzk1hXFnjjd6W_SqoLXd8YdLoUwXC7Cb/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Unconditional Love,"Your marriage is extremely important to you. Lately, you have been lashing out at your spouse more often, and you worry about how this will affect your marriage. You seek the advice of a counselor and remember that your spouse's love is unconditional.",,Will your spouse stop loving you because of your recent behavior?,No,Yes,https://drive.google.com/file/d/1qKTtx2bVx8DqQ9d4X2HRUhr2D94BlzeH/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Symptoms at Shopping Mall,"While you're in a shopping mall, your chorea is worse than usual while trying on clothes. You wonder whether to call your doctor but worry they will think you are overreacting. You decide to make an appointment, and as you place the call, you feel nervous.","The receptionist helps to comfort you and makes you the earliest appointment possible. After the call, you feel a little more relaxed.",Did you feel better after making the appointment?,Yes,No,https://drive.google.com/open?id=1S4_tIln2ypEgkcKJxhO7pKRgaA5rAlOh&usp=drive_copy,
Early/Mid-Stage Symptoms,,,Paying With Cash,"You are at the grocery store restocking food for the week. When you go to give cash to the cashier, all of your change falls to the floor. You look to the people behind you in line, and they offer to help.",,The people behind you in line are eager to...,Help you,Mock you,https://drive.google.com/file/d/1rAUARkKkD18KSIcr-Hxsy7DETzhnsKPT/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Meal Program Volunteering,"You love volunteering with the local senior meal program weekly. You slipped and hurt yourself a week ago, and your doctor told you that it would be at least a month before you should volunteer again. The thought of not helping others makes you feel sad.",,Your doctor's orders are...,Disappointing,Welcomed,https://drive.google.com/file/d/1aksMokeLxHN0YRxlZEnNW70d1SM8GAUr/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Moving to a New City,"Your spouse's job has taken you all over the country with new opportunities. Your spouse's boss approaches them at work asking if they can take a position a few hours away. The thought of a new city, friends, and even medical providers is exciting. ",,Moving to a new city with PD will be a/an...,Adventure,Burden,https://drive.google.com/file/d/1EEDauPaafVDUPBASldYVl2CbOQR9v9h4/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Lunch with New Friend,"You are meeting a new friend for lunch soon. You have recently been a bit messier when you eat, and you are worried they will judge you. When you begin to eat your food, you notice your new friend is looking at you strangely.","Your friend laughs and points out that the waiter accidentally switched your plates. As you giggle and slide your plate over to them, you feel relieved.",Was your new friend judging you for being a messy eater?,No,Yes,https://drive.google.com/file/d/1JYn32ljxRCNK4kO9LlEwt1NZt3XZtNcF/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,April Proposal,"You have been dating someone seriously and are looking forward to the possibilty of getting married — even though some people may think it's too ""late"" in life. On a warm April day, they propose to you at your favorite spot downtown. You say yes knowing PD will be something you get through together.",,"You are confident that as your PD progresses, your fiancé will...",Support you,Abandon you,https://drive.google.com/file/d/10JbbuK2ksBM5FEwnR21mTKSIg6-rGzhc/view?usp=drive_link,
Early/Mid-Stage Symptoms,Romantic Relationships,,Intimacy and Communication,Your PD has been causing you to lose interest in intimacy with your spouse due to difficulty moving. Your spouse has noticed this change and is upset with your lack of touch and care. You recognize you haven't voiced your concern to your spouse and decide to communicate.  ,,You respond to your spouse's upset reaction by... ,Communicating,Avoiding them,https://drive.google.com/file/d/1dz5K5f9Nv2rCWKi8gQna_B64L4xF1lpV/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Crowded Waiting Room,"You're visiting the doctor for the first time since you started using your new walker. You're unsure about how well you will walk in a crowded waiting room. As you rush to check in at the front desk, you press down on a stranger's foot with the walker, leaving you feeling ashamed.",,Did your hurry cause someone else to get hurt?,Yes,No,https://drive.google.com/file/d/1n5k3e0CiwKAV1ooMzJMd7VjJjabRq4k5/view?usp=drive_link,
Presymptomatic,Early/Mid-Stage Symptoms,,Daily Tasks,"Today, you woke up tired and sluggish. You're having trouble focusing on your daily tasks, and you wonder whether this is a sign of your disease progressing. Suddenly, you remember that you stayed up late last night and feeling tired is expected.",,Is your disease suddenly getting worse?,No,Yes,https://drive.google.com/file/d/1AB7-5gJwTRb-mfibpqYf4lVSGShhH2Is/view?usp=sharing,
Early/Mid-Stage Symptoms,Panic Symptoms (ONLY GOES IN THE PD GROUP PROTOCOL AND IS A SUBDOMAIN),,At the Park,"You are at the park with a friend when your hands start shaking. As your friend looks down at your hands, your heart begins to pound, and you feel out of control. You begin to focus on taking slow, deep breaths and remind yourself this feeling will pass.",,Will you always feel like this?,No,Yes,https://drive.google.com/file/d/11JB4CFspqoOPf2iwW1nQTfD_31uAB_1z/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Avid Traveler,"You are an avid traveler but have recently had mobility challenges and frequent fatigue. You worry about how this will impact your ability to explore new destinations and maintain a fast-paced lifestyle. The more you think about it, the more you become hopeless.",You remind yourself that you can still find fulfillment in traveling more locally. Focusing on other aspects of travel that you enjoy gives you peace. ,The thought of exploring close to home makes you feel... ,At peace,Heartbroken,https://drive.google.com/file/d/1AfESufn2dwIfn1ib2-2FDDBUTs_W0kGW/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Coffee Ordering,"You are at a coffee shop, and it's your turn to order. Your words are coming out unclear and you see confusion on the employee's face. You remind yourself that there's no rush and the employee is likely just trying to hear, not judging you.",,The employee is probably feeling...,Interested,Frustrated,https://drive.google.com/file/d/1_De8h3H2lAUtHFqSNFOvLhLwwRzR3g3h/view?usp=sharing,
Early/Mid-Stage Symptoms,Presymptomatic,,Talking to friends,"You are catching up with a group of friends you haven't seen in a while. In the middle of telling a story, you lose track of what you intended to say and worry about your friends' reactions. You tell your friends that you lost your train of thought, and they are understanding. ",,"When you talk, your friends are...",Engaged,Confused,https://drive.google.com/file/d/1LZZLpbShHgMtlJcuw41TLAQkP_mk8oqO/view?usp=sharing,
Early/Mid-Stage Symptoms,Presymptomatic,,Creating Art ,"You enjoy making art. As you are considering your next project, you can't help but think about how HD might affect your creative ability in the future. Thinking about this makes you feel down.",You then realize that you can adapt the way you currently create. Knowing that there are many ways to be an artist leaves you feeling hopeful.,"As you consider your future as an artist, you know that you will... ",Adapt,Fail,https://drive.google.com/file/d/1FwyTjJSA6J-URJCWIJ9ZTQRYkCagQcOi/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Book Club,"You are in a book club, and you really enjoy getting to talk about your ideas with the other members. You are excited thinking about all the books you would like to discuss in the future, but wonder if your PD will affect your ability to participate like you do now. You know that even if your experience of the book club looks different in the future, there will still be ways to stay engaged.",,Will you still be able to have discussions with your book club?,Yes,No,https://drive.google.com/file/d/109-UUKRXlyU5INw9Kr2lgdDGvJ-X61wA/view?usp=sharing,
Early/Mid-Stage Symptoms,Presymptomatic,,Thinking fast at work,"You are at your workplace, and a colleague asks you to perform a task that you have completed countless times before. Today, you struggle to recall the steps needed to complete the task, and your colleague starts to look concerned. Regardless of what they think, you do not question your own competence.",,"If you fail to recall the steps needed to complete the task, you will...",Still be able to do your job,Be judged by your colleagues,https://drive.google.com/file/d/1MetEC4Ht75zYjOYfrsHlJXU-30hJwfI_/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Day in the Park,"You are at the park with your grandchild. They ask you to play catch, and your unsteady gait causes you to stumble. Whether or not your grandchild notices, you do not lose confidence in your role as a loving grandparent to your grandchild.",,Will your grandchild still feel loved by you?,Yes,No,https://drive.google.com/file/d/1UXHyytkaee9j6ewNYxJsL1HJL_jWncfy/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Family Wedding,"You're helping your granddaughter prepare for her wedding. When you meet with the bridal party, you forget the groom's name. Desperate to hide this from her, you secretively ask your daughter for his name while your granddaughter glances over at you with a look of disappointment.",,Did your memory lapse upset your granddaughter?,Yes,No,https://drive.google.com/file/d/1YP6TzbnouF-LTyYi_h_BvYvcIB63HdIi/view?usp=drive_link,
Early/Mid-Stage Symptoms,Panic Symptoms (ONLY GOES IN THE PD GROUP PROTOCOL AND IS A SUBDOMAIN),,Crowded Grocery Store,"You are at a crowded grocery store. Suddenly, you feel your heart start to race and you begin to sweat. Thinking about whether others will notice makes you worried that you'll fall. You begin to feel self conscious and embarrassed.","You think about leaving your groceries and walking out before you remember a breathing exercise you learned in therapy. After a minute of this technique, you start to feel good.",You quickly... ,Improvised,Gave up ,https://drive.google.com/file/d/14lpacLWVklCEjOFgt4FFGfU8-ZWPw-KC/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Therapist after Diagnosis,"You are dedicated to your job as a therapist. Since your PD diagnosis, you have been worried about maintaining your relationship with patients. You reassure yourself that even if your symptoms slow you down, your years of experience will help you continue to do your job well.",,You should be able to help your patients…,Heal,Fail,https://drive.google.com/file/d/1p_ZCkSfEvI2n_UU-KWOglLyxU_LSetIi/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Shopping For Party Supplies,"You have always been known for your hospitality and ability to plan fun events. You go to the store with your spouse to buy supplies for a surprise event for your relative, but you can't remember the items on your list. Your spouse finds you in the store to give you a written list, and you feel supported.",,"With the support of your spouse, you feel...",Grateful,Agitated,https://drive.google.com/file/d/1J8DGTe2IxCSp2CJoGa1c-TW40BuV7raE/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Garden Planting,"In the spring, you notice your friends and neighbors have planted their gardens already. You are taking much longer than expected to plant your garden due to recent changes in your balance. You remember to take the planting one row at a time and remain patient.",,Taking a slower approach to garden work makes the experience more...,Peaceful,Troublesome,https://drive.google.com/file/d/1_qzjhFHipL6cEMeBFWoez_ZyhyvTKmZ9/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Arcade Games,"You are at an arcade with your family. You have always loved playing pinball to try to win prizes for your family members, but you can't pull back the pin as far as you used to and lose the game. You look at your family, and you all share a laugh.",,Your family is being...,Playful,Judgmental,https://drive.google.com/file/d/1WKrNzjkI-fbbctPmH9PKpRdBy3k7CMUz/view?usp=sharing,
Early/Mid-Stage Symptoms,,,At Home Alone,"Your PD symptoms have been unpredictable since your diagnosis, and being home alone gives you an uneasy feeling. Your spouse told you last night they have to go into work tomorrow, meaning you will be home alone for several hours. You remember you have a cell phone easily accessible, and that gives you peace. ",,Being home alone with a cell phone makes you more...,Relaxed,Fearful,https://drive.google.com/file/d/1lbe6pHoOX2BV2RNPZqMVbsEROmr9b5iS/view?usp=sharing,
